symbol,computed_at,overall_score,profitability_score,growth_score,leverage_score,cashflow_score,dividend_score,trend_score,health_label
AMBUJACEM,2026-05-06T10:45:17.447672+00:00,46.16,30.823593482310947,50.0,50.0,50.0,,50.0,AVERAGE
VBL,2026-05-06T10:45:17.447672+00:00,47.28,36.38952951825404,50.0,50.0,50.0,,50.0,AVERAGE
ADANIPOWER,2026-05-06T10:45:17.447672+00:00,53.17,65.87476909382546,50.0,50.0,50.0,,50.0,AVERAGE
SHREECEM,2026-05-06T10:45:17.447672+00:00,44.3,21.524427000050014,50.0,50.0,50.0,,50.0,AVERAGE
SBIN,2026-05-06T10:45:17.447672+00:00,48.66,43.31014322715689,50.0,50.0,50.0,,50.0,AVERAGE
HCLTECH,2026-05-06T10:45:17.447672+00:00,48.03,40.125052423633086,50.0,50.0,50.0,,50.0,AVERAGE
SBILIFE,2026-05-06T10:45:17.447672+00:00,40.07,0.3695737689089955,50.0,50.0,50.0,,50.0,AVERAGE
HAVELLS,2026-05-06T10:45:17.447672+00:00,43.09,15.449647600287586,50.0,50.0,50.0,,50.0,AVERAGE
ZYDUSLIFE,2026-05-06T10:45:17.447672+00:00,51.61,58.050533595577946,50.0,50.0,50.0,,50.0,AVERAGE
ADANIENT,2026-05-06T10:45:17.447672+00:00,42.59,12.9278998273046,50.0,50.0,50.0,,50.0,AVERAGE
