symbol,year_label,document_url
CHOLAFIN,Mar 2018,https://www.bseindia.com/bseplus/AnnualReport/511243/5112430318.pdf
CHOLAFIN,Mar 2017,https://www.bseindia.com/bseplus/AnnualReport/511243/5112430317.pdf
CHOLAFIN,Mar 2016,https://www.bseindia.com/bseplus/AnnualReport/511243/5112430316.pdf
CHOLAFIN,Mar 2014,https://www.bseindia.com/bseplus/AnnualReport/511243/5112430314.pdf
CHOLAFIN,Mar 2013,https://www.bseindia.com/bseplus/AnnualReport/511243/5112430313.pdf
CHOLAFIN,Mar 2012,https://www.bseindia.com/bseplus/AnnualReport/511243/5112430312.pdf
CHOLAFIN,Mar 2011,https://www.bseindia.com/bseplus/AnnualReport/511243/5112430311.pdf
CIPLA,Mar 2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/9ec11f08-4ca3-4060-8cd4-2cfad0af4959.pdf
CIPLA,Mar 2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//8b1af9c1-e37f-4ff0-8583-a71bff16fb42.pdf
CIPLA,Mar 2022,https://www.bseindia.com/bseplus/AnnualReport/500087/74053500087.pdf
CIPLA,Mar 2021,https://www.bseindia.com/bseplus/AnnualReport/500087/69187500087.pdf
CIPLA,Mar 2020,https://www.bseindia.com/bseplus/AnnualReport/500087/5000870320.pdf
CIPLA,Mar 2019,https://www.bseindia.com/bseplus/AnnualReport/500087/5000870319.pdf
CIPLA,Mar 2018,https://www.bseindia.com/bseplus/AnnualReport/500087/5000870318.pdf
CIPLA,Mar 2017,https://www.bseindia.com/bseplus/AnnualReport/500087/5000870317.pdf
CIPLA,Mar 2016,https://www.bseindia.com/bseplus/AnnualReport/500087/5000870316.pdf
CIPLA,Mar 2015,https://www.bseindia.com/bseplus/AnnualReport/500087/5000870315.pdf
CIPLA,Mar 2014,https://www.bseindia.com/bseplus/AnnualReport/500087/5000870314.pdf
CIPLA,Mar 2013,https://www.bseindia.com/bseplus/AnnualReport/500087/5000870313.pdf
CIPLA,Mar 2012,https://www.bseindia.com/bseplus/AnnualReport/500087/5000870312.pdf
CIPLA,Mar 2011,https://www.bseindia.com/bseplus/AnnualReport/500087/5000870311.pdf
COALINDIA,Mar 2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ecb5c7db-530d-4a07-a38f-392f0007f2a1.pdf
COALINDIA,Mar 2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//c88588ee-e8d9-47d9-8a4a-2ea3c94059fc.pdf
COALINDIA,Mar 2022,https://www.bseindia.com/bseplus/AnnualReport/533278/73965533278_09_08_22.pdf
COALINDIA,Mar 2021,https://www.bseindia.com/bseplus/AnnualReport/533278/69506533278.pdf
COALINDIA,Mar 2020,https://www.bseindia.com/bseplus/AnnualReport/533278/65189533278.pdf
COALINDIA,Mar 2019,https://www.bseindia.com/bseplus/AnnualReport/533278/5332780319.pdf
